Cust_Id,City,age,MonthlyIncome,MinBal,MaxBal,Age with Bank
10156,Pune,28,17362,3649,11815,1
10157,Mumbai,29,17466,2895,12960,1
10158,Mumbai,27,12891,3660,10968,1
10159,Nashik,26,8736,4847,14055,1
10160,Nashik,27,10567,4663,11900,1
10161,Nashik,27,14716,4593,10963,1
10162,Pune,28,9183,4285,14519,1
10163,Mumbai,26,14637,3703,10304,1
10164,Mumbai,27,10139,3522,10440,1
10165,Pune,28,13993,4052,11814,1
10166,Mumbai,27,9252,3634,11789,1
10167,Mumbai,28,7193,3594,14714,1
10168,Nashik,29,13679,3347,10836,1
10169,Nashik,25,8725,4603,13483,1
10170,Nashik,29,10924,4274,14960,1
10171,Nashik,29,17695,4562,13453,1
10172,Pune,26,19574,4788,12385,1
10173,Mumbai,29,12004,4403,11682,1
10174,Aurangabad,27,11153,2621,12732,1
10175,Kolhapur,29,9222,4149,11395,1
10176,Kolhapur,25,7530,4216,10747,1
10177,Aurangabad,29,16099,4762,10875,1
10178,Aurangabad,27,8237,3324,10998,1
10179,Kolhapur,28,19289,3555,12437,1
10180,Nashik,27,5697,3003,13713,1
10181,Pune,27,6338,3246,11231,1
10182,Mumbai,29,18023,3038,14614,1
10183,Aurangabad,26,5770,3575,10122,1
10184,Kolhapur,27,18642,2530,11532,1
10185,Kolhapur,28,16382,4514,11396,1
10186,Aurangabad,25,5543,3220,14859,1
10187,Aurangabad,28,13793,4040,11959,1
10188,Kolhapur,26,13995,3236,11908,1
10189,Mumbai,25,12646,4350,10451,1
10190,Pune,25,14570,3383,12549,1
10191,Mumbai,28,17442,3257,14942,1
10192,Mumbai,25,9438,4171,13781,1
10193,Nashik,26,18700,2533,10172,1
10194,Nashik,29,10213,3270,11521,1
10195,Nashik,26,9566,4462,12980,1
10196,Pune,27,9252,4416,12443,1
10197,Mumbai,28,6410,3512,10483,1
10198,Aurangabad,28,17579,3845,13456,1
10199,Kolhapur,26,13498,4397,14095,1
10200,Kolhapur,27,9336,4237,14760,1
10201,Aurangabad,26,10509,2976,10788,1
10202,Aurangabad,29,12774,4262,14485,1
10203,Kolhapur,25,5958,3447,12057,1
10204,Solapur,25,10073,2758,11130,1
10205,Mumbai,28,14318,3089,11501,1
10206,Pune,25,19395,3822,13900,1
10207,Mumbai,25,10536,2520,14011,1
10208,Mumbai,28,18731,4449,12142,1
10209,Nashik,25,14338,2989,13242,1
10210,Nashik,26,16766,4618,11439,1
10211,Nashik,29,6514,4137,10659,1
10212,Pune,26,12657,3185,10521,1
10213,Mumbai,29,5845,3907,11713,1
10214,Mumbai,25,15218,2796,14554,1
10215,Pune,29,6735,4496,13618,1
10216,Mumbai,26,17483,4018,11464,1
10217,Mumbai,25,12343,4410,11334,1
10218,Nashik,26,18910,4784,10473,1
10219,Nashik,26,19044,4063,14592,1
10220,Nashik,26,8503,4176,12727,1
10221,Pune,27,5290,3948,14004,1
10222,Mumbai,29,5365,4942,13155,1
10223,Mumbai,25,18845,4375,11123,1
10224,Nashik,29,18112,4823,10575,1
10225,Nashik,29,6605,3124,13523,1
10226,Nashik,28,16816,4058,13356,1
10227,Pune,28,17567,4248,13477,1
10228,Mumbai,27,17976,4628,13638,1
10229,Aurangabad,29,12270,4852,13860,1
10230,Kolhapur,25,12045,2992,11281,1
10231,Kolhapur,25,9686,3809,13625,1
10232,Aurangabad,28,11663,3008,14941,1
10233,Aurangabad,25,6662,2822,10920,1
10234,Kolhapur,29,9627,2727,10867,1
10235,Solapur,28,11141,2972,10767,1
10236,Mumbai,27,15475,2903,11812,1
10237,Kolhapur,27,11970,2855,13189,1
10238,Aurangabad,29,19437,4571,11695,1
10239,Aurangabad,25,11248,3294,13972,1
10240,Kolhapur,28,19685,2512,10433,1
10241,Solapur,29,18603,2795,11333,1
10242,Mumbai,25,11272,2936,10298,1
10243,Pune,25,8754,3351,13861,1
10244,Mumbai,28,7928,3303,12084,1
10245,Mumbai,27,15094,4543,11157,1
10246,Nashik,29,17053,2976,14772,1
10247,Nashik,29,5864,4633,10249,1
10248,Nashik,27,13123,3521,13367,1
10249,Pune,25,18351,2582,12107,1
10250,Mumbai,29,18837,2861,14439,1
10251,Mumbai,25,15324,4006,12619,1
10252,Pune,25,13787,3207,11388,1
10253,Mumbai,27,10506,4489,10291,1
10254,Mumbai,27,5843,2999,13480,1
10255,Nashik,28,9020,4456,13161,1
10256,Nashik,25,12537,2917,14216,1
10257,Nashik,27,19319,2593,13814,1
10258,Nashik,28,17412,3217,14502,1
10259,Pune,28,14992,4874,10539,1
10260,Mumbai,26,10592,3335,10217,1
10261,Aurangabad,29,16052,4816,14810,1
10262,Kolhapur,29,15703,3343,11595,1
10263,Kolhapur,26,5591,3087,12167,1
10264,Aurangabad,25,11472,4424,14867,1
10265,Aurangabad,29,6553,3527,11320,1
10266,Kolhapur,27,5237,4181,11543,1
10267,Nashik,28,7100,3585,10856,1
10268,Pune,29,8601,3546,13904,1
10269,Mumbai,27,11346,3613,14714,1
10270,Aurangabad,25,7054,4772,12029,1
10271,Kolhapur,27,7482,3721,11165,1
10272,Kolhapur,29,8693,2796,13640,1
10273,Aurangabad,27,17518,4761,14512,1
10274,Aurangabad,29,14911,3322,13044,1
10275,Kolhapur,26,8324,3244,12446,1
10276,Mumbai,28,17825,3282,10956,1
10277,Pune,25,10992,3203,13865,1
10278,Mumbai,27,6510,3465,14010,1
10279,Mumbai,28,18228,4379,12872,1
10280,Nashik,26,11618,2825,10296,1
10281,Nashik,27,9088,4356,14953,1
10282,Nashik,27,16494,4987,12515,1
10283,Pune,29,12184,3455,10335,1
10284,Mumbai,27,5694,3833,11667,1
10285,Aurangabad,28,18460,4921,10661,1
10286,Kolhapur,27,7271,3875,10543,1
10287,Kolhapur,27,15984,4317,11157,1
10288,Aurangabad,25,13742,3297,13766,1
10289,Aurangabad,28,10611,3988,10086,1
10290,Kolhapur,29,5254,3015,11770,1
10291,Solapur,25,11933,3172,10430,1
10292,Mumbai,28,8970,4974,12251,1
10293,Pune,28,17235,4294,10913,1
10294,Mumbai,29,8082,2905,12207,1
10295,Mumbai,29,5689,3827,12651,1
10296,Nashik,29,9034,4788,10021,1
10297,Nashik,25,12816,4922,14346,1
10298,Nashik,26,19032,2651,13216,1
10299,Pune,26,9185,2904,14178,1
10300,Mumbai,27,5484,3882,12447,1
10301,Mumbai,27,18174,3839,13492,1
10302,Pune,27,9418,2881,10033,1
10303,Mumbai,26,9696,4070,11959,1
10304,Mumbai,26,9517,4843,12494,1
10305,Nashik,26,6647,4586,13435,1
10306,Nashik,28,16626,3706,12286,1
10307,Nashik,26,15623,4682,12458,1
10308,Pune,28,15470,3711,11025,1
10309,Mumbai,27,6845,2867,10879,1
10310,Mumbai,27,16775,4567,13702,1
10311,Nashik,26,11169,4147,12190,1
10312,Nashik,26,18790,4159,10487,1
10313,Nashik,26,17617,4198,13844,1
10314,Pune,25,7855,3510,11532,1
10315,Mumbai,29,8240,4440,12482,1
10316,Aurangabad,26,11725,4667,11562,1
10317,Kolhapur,26,15504,3844,14805,1
10318,Kolhapur,27,7221,3331,14438,1
10319,Aurangabad,25,7262,3931,13490,1
10320,Aurangabad,25,9577,4217,13380,1
10321,Kolhapur,26,17237,2675,13074,1
10322,Solapur,26,12854,4711,13401,1
10323,Mumbai,28,15315,2619,11722,1
10324,Kolhapur,29,10810,4617,13768,1
10325,Aurangabad,26,9328,2658,13418,1
10326,Aurangabad,25,14206,3360,12853,1
10327,Kolhapur,26,7927,3917,11713,1
10328,Solapur,26,7140,4654,11252,1
10329,Mumbai,28,15775,3780,10382,1
10330,Pune,27,6818,4003,13877,1
10331,Mumbai,29,11970,4499,13817,1
10332,Mumbai,29,11752,3858,10602,1
10333,Nashik,26,7770,3791,11098,1
10334,Nashik,29,14801,3871,14920,1
10335,Nashik,25,5077,4300,13187,1
10336,Pune,29,17707,3834,10922,1
10337,Mumbai,28,12120,3190,14257,1
10338,Mumbai,26,19399,4737,11998,1
10339,Pune,28,9103,2901,11962,1
10340,Mumbai,29,18686,2680,12470,1
10341,Mumbai,28,18757,4107,13740,1
10342,Nashik,28,17692,2742,13030,1
10343,Nashik,29,6439,4942,14345,1
10344,Nashik,25,18486,4849,13847,1
10345,Nashik,29,6746,2921,12187,1
10346,Pune,29,11612,2743,13760,1
10347,Mumbai,26,19367,4264,14119,1
10348,Aurangabad,27,15550,3137,11083,1
10349,Kolhapur,26,12560,4686,12907,1
10350,Kolhapur,28,9925,4100,12801,1
10351,Aurangabad,29,9761,4062,14572,1
10352,Aurangabad,25,17075,2738,12201,1
10353,Kolhapur,27,18599,2753,11550,1
10354,Nashik,29,6577,3630,12631,1
10355,Pune,29,5031,4487,12730,1
10356,Mumbai,26,19259,2503,10967,1
10357,Aurangabad,29,9052,2829,13934,1
10358,Kolhapur,29,6147,4246,14013,1
10359,Kolhapur,29,12633,4496,11350,1
10360,Aurangabad,25,19568,2947,14116,1
10361,Aurangabad,25,16877,2918,12670,1
10362,Kolhapur,28,12089,4316,13162,1
10363,Mumbai,27,8976,4723,11481,1
10364,Pune,26,17738,3029,12448,1
10365,Mumbai,28,15456,2823,11779,1
10366,Mumbai,26,6046,3923,14457,1
10367,Nashik,26,17975,3657,10832,1
10368,Nashik,27,15924,4158,13452,1
10369,Nashik,26,19785,3651,12919,1
10370,Pune,28,8138,4165,13000,1
10371,Mumbai,27,7326,4187,13542,1
10372,Aurangabad,26,18821,4634,11356,1
10373,Kolhapur,27,15158,4542,10150,1
10374,Kolhapur,28,17189,2783,14757,1
10375,Aurangabad,27,13724,4736,11092,1
10376,Aurangabad,29,5574,4883,11519,1
10377,Kolhapur,26,6154,2600,12131,1
10378,Solapur,29,14701,3349,11140,1
10379,Mumbai,26,10572,2746,11189,1
10380,Pune,28,19576,2938,13205,1
10381,Mumbai,25,13309,4456,12009,1
10382,Mumbai,25,14896,3893,14570,1
10383,Nashik,29,7731,4460,10169,1
10384,Nashik,25,13442,3430,10588,1
10385,Nashik,27,12554,4542,12135,1
10386,Pune,28,10722,2528,11847,1
10387,Mumbai,28,14723,4098,12958,1
10388,Mumbai,27,10429,4197,11686,1
10389,Pune,25,6701,4296,10878,1
10390,Mumbai,28,5103,4024,14433,1
10391,Mumbai,29,16581,4864,14399,1
10392,Nashik,25,17409,4512,14604,1
10393,Nashik,25,11342,4620,12098,1
10394,Nashik,26,19782,2651,14076,1
10395,Pune,27,5764,3098,10289,1
10396,Mumbai,28,17611,3856,12294,1
10397,Mumbai,27,7043,4542,10340,1
10398,Nashik,29,19969,3964,11936,1
10399,Nashik,25,6012,3323,12196,1
10400,Nashik,25,7104,4416,11575,1
10401,Pune,25,12570,2846,11940,1
10402,Mumbai,27,16468,4701,13216,1
10403,Aurangabad,25,18556,2804,10582,1
10404,Kolhapur,25,15755,3062,12111,1
10405,Kolhapur,25,16081,4996,13189,1
10406,Aurangabad,26,15451,3697,10916,1
10407,Aurangabad,29,18021,4836,10268,1
10408,Kolhapur,28,11403,3780,14888,1
10409,Solapur,28,14659,2694,14199,1
10410,Mumbai,28,9775,4740,10455,1
10411,Kolhapur,29,9187,2838,14170,1
10412,Aurangabad,28,10188,4141,11439,1
10413,Aurangabad,27,16106,2611,10699,1
10414,Kolhapur,27,5429,3469,10784,1
10415,Solapur,27,15875,2694,14667,1
10416,Mumbai,27,17606,3602,13077,1
10417,Pune,26,19927,2561,11511,1
10418,Mumbai,25,8131,4189,12745,1
10419,Mumbai,29,5915,3795,12600,1
10420,Nashik,29,17716,2907,10631,1
10421,Nashik,29,11180,4728,14126,1
10422,Nashik,28,6210,2661,12829,1
10423,Pune,25,9765,4300,14616,1
10424,Mumbai,27,7165,2604,11437,1
10425,Mumbai,27,7521,2931,10055,1
10426,Pune,26,10316,3566,14646,1
10427,Mumbai,26,7596,2783,14283,1
10428,Mumbai,28,6971,3311,11764,1
10429,Nashik,29,7104,2541,14401,1
10430,Nashik,25,14385,4983,12625,1
10431,Nashik,25,14259,3998,13783,1
10432,Nashik,29,6086,3695,10625,1
10433,Pune,26,11481,4835,12803,1
10434,Mumbai,27,12079,4454,10866,1
10435,Aurangabad,26,6121,3833,13660,1
10436,Kolhapur,25,9353,3054,10720,1
10437,Kolhapur,26,11547,4861,10206,1
10438,Aurangabad,27,13263,4967,13463,1
10439,Aurangabad,26,18427,3807,10008,1
10440,Kolhapur,26,11700,3858,12995,1
10441,Nashik,25,14726,3611,13894,1
10442,Pune,26,11485,3829,11989,1
10443,Mumbai,29,5416,4371,10133,1
10444,Aurangabad,25,16826,3708,11423,1
10445,Kolhapur,25,17866,4309,10726,1
10446,Kolhapur,26,7519,2879,10082,1
10447,Aurangabad,29,17626,3621,12168,1
10448,Aurangabad,29,19443,4782,10709,1
10449,Kolhapur,26,9702,3363,14060,1
10450,Mumbai,29,13341,4854,13348,1
10451,Pune,29,8557,3172,10850,1
10452,Mumbai,26,17733,4233,10851,1
10453,Mumbai,29,15100,3682,12112,1
10454,Nashik,29,6602,3408,11818,1
10455,Nashik,25,13446,4764,13577,1
10456,Nashik,29,14343,3399,11073,1
10457,Pune,25,13093,4388,12696,1
10458,Mumbai,26,19411,3451,13657,1
10459,Aurangabad,29,12022,3889,10099,1
10460,Kolhapur,28,9276,2627,13992,1
10461,Kolhapur,27,13279,3792,10490,1
10462,Aurangabad,28,14200,3352,10658,1
10463,Aurangabad,25,9303,3497,14805,1
10464,Kolhapur,29,7071,3510,14301,1
10465,Solapur,28,12548,3128,14856,1
10466,Mumbai,25,16260,3140,10766,1
10467,Pune,25,11066,4477,13312,1
10468,Mumbai,29,14272,4781,14254,1
10469,Mumbai,29,6563,4946,11218,1
10470,Nashik,25,8610,4120,12942,1
10471,Nashik,28,7255,3246,13590,1
10472,Nashik,26,13802,3664,13447,1
10473,Pune,25,8883,4593,12668,1
10474,Mumbai,26,17735,4467,14252,1
10475,Mumbai,27,8966,3643,12057,1
10476,Pune,28,15926,4230,13575,1
10477,Mumbai,25,9523,4094,14061,1
10478,Mumbai,27,9746,3609,13603,1
10479,Nashik,26,15532,4275,14837,1
10480,Nashik,29,14535,4895,14225,1
10481,Nashik,29,7290,4293,13124,1
10482,Pune,28,18531,4485,14506,1
10483,Mumbai,28,13549,2625,12545,1
10484,Mumbai,25,10486,4440,10613,1
10485,Nashik,27,18421,4210,14707,1
10486,Nashik,28,5739,3604,12481,1
10487,Nashik,29,10229,3604,13950,1
10488,Pune,26,6159,3179,10381,1
10489,Mumbai,27,10360,3932,14484,1
10490,Aurangabad,29,17154,4952,14149,1
10491,Kolhapur,25,11622,4954,10845,1
10492,Kolhapur,28,14851,2719,13058,1
10493,Aurangabad,25,18008,4019,13454,1
10494,Aurangabad,28,17253,3850,12996,1
10495,Kolhapur,27,15225,3807,13950,1
10496,Solapur,28,16447,3003,12186,1
10497,Mumbai,26,19454,4602,10236,1
10498,Kolhapur,25,17915,4112,12696,1
10499,Aurangabad,29,19602,4934,11890,1
10500,Aurangabad,27,17665,4412,14892,1
10501,Kolhapur,28,6376,4691,12996,1
10502,Solapur,29,8112,2722,13610,1
10503,Mumbai,29,17981,4448,11843,1
10504,Pune,26,5805,2990,14158,1
10505,Mumbai,26,15190,3874,10602,1
10506,Mumbai,28,6503,3248,12816,1
10507,Nashik,28,17791,3530,10366,1
10508,Nashik,26,19906,3635,14327,1
10509,Nashik,26,9150,4533,14709,1
10510,Pune,29,19772,4489,14573,1
10511,Mumbai,26,17433,2583,13584,1
10512,Mumbai,27,12462,2744,12429,1
10513,Pune,25,14871,2672,13004,1
10514,Mumbai,25,6271,3522,11276,1
10515,Mumbai,29,7417,4376,11276,1
10516,Nashik,25,16014,3115,13076,1
10517,Nashik,29,7094,3308,12817,1
10518,Nashik,25,16587,2932,14636,1
10519,Nashik,26,7731,3639,14780,1
10520,Pune,25,12856,3823,10954,1
10521,Mumbai,29,19232,3713,13571,1
10522,Aurangabad,29,7780,3274,11694,1
10523,Kolhapur,29,16759,4541,12436,1
10524,Kolhapur,25,15415,4567,11796,1
10525,Aurangabad,27,10953,4086,12540,1
10526,Aurangabad,25,13658,4001,11174,1
10527,Kolhapur,25,12780,3383,10802,1
10528,Nashik,25,16859,4785,11815,1
10529,Pune,28,11094,3926,12265,1
10530,Mumbai,25,10276,3380,11217,1
10531,Aurangabad,25,11926,4154,13658,1
10532,Kolhapur,28,18732,2535,12037,1
10533,Kolhapur,27,12543,2656,13869,1
10534,Aurangabad,27,11469,4759,10854,1
10535,Aurangabad,28,10462,4409,10180,1
10536,Kolhapur,29,10267,4971,14632,1
10537,Mumbai,26,8238,3328,10016,1
10538,Pune,29,17823,4740,10143,1
10539,Mumbai,28,11346,4793,13112,1
10540,Mumbai,25,18672,2926,13117,1
10541,Nashik,25,5845,4508,14342,1
10542,Nashik,27,18590,4245,12470,1
10543,Nashik,26,6766,3040,11916,1
10544,Pune,28,10568,4837,12113,1
10545,Mumbai,26,12385,3538,12729,1
10546,Aurangabad,26,12139,3175,11482,1
10547,Kolhapur,27,15877,2912,10433,1
10548,Kolhapur,28,15072,3413,13683,1
10549,Aurangabad,29,14792,2855,11869,1
10550,Aurangabad,29,8832,3803,11530,1
10551,Kolhapur,25,18950,4149,11327,1
10552,Solapur,28,9009,3411,13419,1
10553,Mumbai,26,18150,3798,14024,1
10554,Pune,25,6466,2702,12212,1
10555,Mumbai,29,15122,3040,14485,1
10556,Mumbai,28,6093,3034,14889,1
10557,Nashik,26,16985,2881,11320,1
10558,Nashik,27,19566,3450,13798,1
10559,Nashik,26,11627,4110,10262,1
10560,Pune,28,17043,2566,13351,1
10561,Mumbai,25,19218,3327,10443,1
10562,Mumbai,28,9233,2641,11781,1
10563,Pune,28,10177,4078,11427,1
10564,Mumbai,29,17664,3342,13097,1
10565,Mumbai,28,7031,4572,11193,1
10566,Nashik,28,5579,4310,14302,1
10567,Nashik,29,17498,2695,14181,1
10568,Nashik,26,11869,4933,14429,1
10569,Pune,26,15837,4642,10018,1
10570,Mumbai,27,14363,3191,13286,1
10571,Mumbai,29,15504,2640,11516,1
10572,Nashik,26,8572,2972,12204,1
10573,Nashik,28,14538,2593,12622,1
10574,Nashik,29,13672,4410,13145,1
10575,Pune,28,17212,4409,11844,1
10576,Mumbai,29,16314,3894,13752,1
10577,Aurangabad,27,9546,4188,13820,1
10578,Kolhapur,29,7685,3197,12761,1
10579,Kolhapur,25,17725,3875,12857,1
10580,Aurangabad,27,13613,4764,14926,1
10581,Aurangabad,29,15603,4197,14734,1
10582,Kolhapur,28,17960,4179,11345,1
10583,Solapur,26,14052,4371,14358,1
10584,Mumbai,29,14613,3372,10259,1
10585,Kolhapur,26,9535,2945,11284,1
10586,Aurangabad,27,10723,4498,11224,1
10587,Aurangabad,27,15342,3791,14606,1
10588,Kolhapur,27,13774,4325,12495,1
10589,Solapur,29,7503,2712,13228,1
10590,Mumbai,29,12651,4277,11193,1
10591,Pune,28,5988,2711,13903,1
10592,Mumbai,25,6125,3248,10272,1
10593,Mumbai,25,7994,4176,12222,1
10594,Nashik,29,16929,4000,13818,1
10595,Nashik,25,19690,4448,13154,1
10596,Nashik,27,13427,2531,10068,1
10597,Pune,29,17863,4724,11923,1
10598,Mumbai,27,16694,3033,11756,1
10599,Mumbai,25,6304,3453,12948,1
10600,Pune,26,18712,3002,10495,1
10601,Mumbai,25,12303,2545,10034,1
10602,Mumbai,26,11769,4956,11779,1
10603,Nashik,27,10165,2542,10933,1
10604,Nashik,26,16287,3243,13149,1
10605,Nashik,28,8921,3555,14544,1
10606,Nashik,29,15763,3269,12236,1
10607,Pune,26,5038,2866,10972,1
10608,Mumbai,28,16363,2988,14867,1
10609,Aurangabad,29,19185,4044,11271,1
10610,Kolhapur,29,6604,4745,14317,1
10611,Kolhapur,28,15087,4604,13283,1
10612,Aurangabad,25,8789,4140,10447,1
10613,Aurangabad,27,16328,3907,14532,1
10614,Kolhapur,27,16064,3990,11247,1
10615,Nashik,26,17790,3517,10852,1
10616,Pune,26,8594,3125,14898,1
10617,Mumbai,28,13926,3114,14776,1
10618,Aurangabad,29,19697,4949,10464,1
10619,Kolhapur,28,10426,4338,12325,1
10620,Kolhapur,27,19000,3889,10487,1
10621,Aurangabad,28,7322,2798,12341,1
10622,Aurangabad,26,9830,4749,12959,1
10623,Kolhapur,25,18975,3848,11545,1
10624,Mumbai,29,8059,3156,13829,1
10625,Pune,25,12545,3737,11772,1
10626,Mumbai,25,15304,4378,14618,1
10627,Mumbai,28,15816,4642,14815,1
10628,Nashik,26,11514,2568,11581,1
10629,Nashik,27,10771,3003,11893,1
10630,Nashik,26,17431,3160,12384,1
10631,Pune,28,11670,4707,12642,1
10632,Mumbai,25,5096,4409,10431,1
10633,Aurangabad,29,9515,4287,14260,1
10634,Kolhapur,26,12975,4296,10530,1
10635,Kolhapur,25,9960,2884,10387,1
10636,Aurangabad,26,17987,4196,14724,1
10637,Aurangabad,26,17069,3925,12196,1
10638,Kolhapur,25,12597,3287,11860,1
10639,Solapur,26,19657,3385,12566,1
10640,Mumbai,28,14950,3348,14789,1
10641,Pune,28,11378,4702,12253,1
10642,Mumbai,26,10126,4974,13804,1
10643,Mumbai,27,12088,4345,14996,1
10644,Nashik,28,5051,4197,11096,1
10645,Nashik,26,15017,3600,11879,1
10646,Nashik,27,13660,2915,10252,1
10647,Pune,25,6928,4478,10308,1
10648,Mumbai,27,10710,4497,10400,1
10649,Mumbai,25,9141,3101,11889,1
10650,Pune,26,13837,4032,14665,1
10651,Mumbai,29,17936,2611,12991,1
10652,Mumbai,29,8612,2682,10625,1
10653,Nashik,27,10152,4612,14954,1
10654,Nashik,29,18734,4605,12834,1
10655,Nashik,27,17729,2971,11367,1
10656,Pune,27,13927,2821,14477,1
10657,Mumbai,28,10558,4373,12830,1
10658,Mumbai,25,8936,2885,13885,1
10659,Nashik,26,5246,3152,12727,1
10660,Nashik,29,5842,3310,11272,1
